strain	public-identifier	date	region	country	division	location	gisaid-accession
2000040963	USA/CA-CZB-28397/2021	2021-02-21	North America	USA	California	?	EPI_ISL_1478100
SF-BH.WGS022	USA/CA-CZB-2463/2020	2020-05-19	North America	USA	California	San Francisco County	EPI_ISL_513868
21WG00170	USA/CA-CZB-28366/2021	2021-02-07	North America	USA	California	Contra Costa County	EPI_ISL_1478128
21WG00172	USA/CA-CZB-28368/2021	2021-02-12	North America	USA	California	Contra Costa County	EPI_ISL_1478141
21WG00002	USA/CA-CZB-27731/2021	2021-01-31	North America	USA	California	Contra Costa County	EPI_ISL_1477946
21WG00004	USA/CA-CZB-27733/2021	2021-02-17	North America	USA	California	Contra Costa County	EPI_ISL_1477827
20-127-1025	USA/CA-CZB-1524/2020	2020-05-06	North America	USA	California	Ventura County	EPI_ISL_468470
21WG00235	USA/CA-CZB-28546/2021	2021-01-22	North America	USA	California	Contra Costa County	EPI_ISL_1529330
2000040960	USA/CA-CZB-28394/2021	2021-02-21	North America	USA	California	?	EPI_ISL_1478104
2000040950	USA/CA-CZB-28384/2021	2021-02-21	North America	USA	California	?	EPI_ISL_1478109
2000040946	USA/CA-CZB-28380/2021	2021-02-21	North America	USA	California	?	EPI_ISL_1478112
2000040954	USA/CA-CZB-28388/2021	2021-02-21	North America	USA	California	?	EPI_ISL_1478113
2008739	USA/CA-CZB-2072/2020	2020-05-04	North America	USA	California	San Joaquin County	EPI_ISL_486315
2000040975	USA/CA-CZB-28409/2021	2021-02-22	North America	USA	California	?	EPI_ISL_1478114
2000040988	USA/CA-CZB-28422/2021	2021-02-19	North America	USA	California	?	EPI_ISL_1478115
2000040978	USA/CA-CZB-28412/2021	2021-02-22	North America	USA	California	?	EPI_ISL_1478116
2000041008	USA/CA-CZB-28442/2021	2021-02-22	North America	USA	California	?	EPI_ISL_1478119
2000040962	USA/CA-CZB-28396/2021	2021-02-20	North America	USA	California	?	EPI_ISL_1478127
2000040971	USA/CA-CZB-28405/2021	2021-02-22	North America	USA	California	?	EPI_ISL_1478130
2000041009	USA/CA-CZB-28443/2021	2021-02-22	North America	USA	California	?	EPI_ISL_1478132
2000040972	USA/CA-CZB-28406/2021	2021-02-23	North America	USA	California	?	EPI_ISL_1478137
2000040984	USA/CA-CZB-28418/2021	2021-02-19	North America	USA	California	?	EPI_ISL_1478142
2000040947	USA/CA-CZB-28381/2021	2021-02-22	North America	USA	California	?	EPI_ISL_1478144
2000041001	USA/CA-CZB-28435/2021	2021-02-19	North America	USA	California	?	EPI_ISL_1478146
2000041014	USA/CA-CZB-28448/2021	2021-02-22	North America	USA	California	?	EPI_ISL_1478148
2000040979	USA/CA-CZB-28413/2021	2021-02-22	North America	USA	California	?	EPI_ISL_1478151
2000040969	USA/CA-CZB-28403/2021	2021-02-22	North America	USA	California	?	EPI_ISL_1478158
2000040952	USA/CA-CZB-28386/2021	2021-02-21	North America	USA	California	?	EPI_ISL_1478162
2000040995	USA/CA-CZB-28429/2021	2021-02-19	North America	USA	California	?	EPI_ISL_1478166
